Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Apicomplexa,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0745457597972541,-0.0387131337280483,0.187804653322556,5.67511233572744,1.29732913708573,0.195908231300039,0.587724693900117,-5.13363835630129
Chlorobi,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0455095862269665,-0.0651072882509754,0.156126460704908,5.36837207149932,0.810925663497811,0.418305080372289,0.717769568529754,-5.60925129732107
Acidobacteria,TreatmentGroupGrp1...TreatmentGroupGrp2,0.00900858319963405,-0.0965359499765453,0.114553116375813,5.16502167794025,0.168236525910137,0.866555353085314,0.981374909512374,-5.90232269327449
Thermotogae,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0663639811696175,-0.0448147738836081,0.177542736222843,4.75355169052048,1.17654939769805,0.240676335326001,0.588911851736187,-5.27197076615931
Chlamydiae,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.00774557035178169,-0.516767560713775,0.501276420010212,4.53987579113945,-0.0299927577110614,0.976100650518922,0.981374909512374,-5.91510593047599
Lentisphaerae,TreatmentGroupGrp1...TreatmentGroupGrp2,0.299150452162203,-0.173626637318643,0.771927541643048,4.39852435627783,1.24719046506139,0.213684473494106,0.588911851736187,-5.19267831800475
Fibrobacteres,TreatmentGroupGrp1...TreatmentGroupGrp2,0.382361191600371,0.104505115627045,0.660217267573697,4.02574208995853,2.71239821154783,0.0072205167459063,0.162461626782892,-2.54487888929031
Aquificae,TreatmentGroupGrp1...TreatmentGroupGrp2,0.00594573479393201,-0.103149003595601,0.115040473183465,3.73658985027459,0.107423987668939,0.914552796799478,0.981374909512374,-5.91014227733657
Crenarchaeota,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0307357086443623,-0.053003768815788,0.114475186104512,3.56597768147536,0.723456670300763,0.470185685741723,0.725948967915999,-5.6716780387675
Deferribacteres,TreatmentGroupGrp1...TreatmentGroupGrp2,0.00906523465434361,-0.085380334795836,0.103510804104523,3.50107758511327,0.189189488005199,0.850122773764235,0.981374909512374,-5.89882951050992
Nitrospirae,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0340258542833283,-0.0624846371906586,0.130536345757315,3.45054336974264,0.694918784911979,0.487856485435224,0.725948967915999,-5.69051385682938
Armatimonadetes,TreatmentGroupGrp1...TreatmentGroupGrp2,0.00152369399197294,-0.126973686532,0.130021074515946,3.301526559457,0.0233723844671557,0.981374909512374,0.981374909512374,-5.91527074582299
Gemmatimonadetes,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0421577459924158,-0.0668233765362241,0.151138868521056,3.21273647304196,0.76247506730673,0.446612175974069,0.717769568529754,-5.64470477536712
Thaumarchaeota,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0862088736279643,-0.0416927493600357,0.214110496615964,2.90102952722489,1.32854251348572,0.18540727708099,0.587724693900117,-5.09572811032286
Elusimicrobia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.123499606536258,-0.0764800878656405,0.323479300938157,2.80456098278473,1.2172484063559,0.224844037977862,0.588911851736187,-5.22684348355395
Ignavibacteriae,TreatmentGroupGrp1...TreatmentGroupGrp2,0.125065385068141,-0.0197229065575867,0.269853676693868,2.74146612263267,1.70256312041693,0.0900950407862734,0.512632678098288,-4.57292729144252
Thermodesulfobacteria,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0789789950675348,-0.0165737598148547,0.174531749949924,2.34860105950262,1.62917573020532,0.104740044449539,0.512632678098288,-4.68543430001221
Bacillariophyta,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0156324097436586,-0.0885223948183499,0.119787214305667,2.30923717870359,0.295832690024962,0.767643371669908,0.981374909512374,-5.87470711429064
Kiritimatiellaeota,TreatmentGroupGrp1...TreatmentGroupGrp2,0.20133711572591,0.0736599767596272,0.329014254692193,2.26802103307283,3.10829140606242,0.00213724031858413,0.0961758143362861,-1.51307613110633
Candidatus Saccharibacteria,TreatmentGroupGrp1...TreatmentGroupGrp2,0.162927974333704,-0.027507752954722,0.35336370162213,2.1533847447676,1.68634632375643,0.0931795527677766,0.512632678098288,-4.59820336316058
Chrysiogenetes,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0777397640443209,-9.22694660182993e-05,0.15557179755466,1.98193509757458,1.96877401164864,0.0502697820354325,0.508707850587297,-4.12224990053796
Calditrichaeota,TreatmentGroupGrp1...TreatmentGroupGrp2,0.00351178778918948,-0.118536259113328,0.125559834691707,1.95629915100546,0.0567163739973801,0.954824047507077,0.981374909512374,-5.91076790085753
Dictyoglomi,TreatmentGroupGrp1...TreatmentGroupGrp2,0.111713229489611,-0.0431568765417325,0.266583335520954,1.87448159353374,1.42183119256511,0.156530960548225,0.54183794035924,-4.97436836050525
Caldiserica,TreatmentGroupGrp1...TreatmentGroupGrp2,0.129293561837213,0.00100416915356341,0.257582954520862,1.15929579233984,1.98653930195445,0.0482492412164756,0.508707850587297,-4.09011882071042
