Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
RMTD,TreatmentGroupGrp1...TreatmentGroupGrp2,-1.36225933576361,-1.70061577733249,-1.02390289419472,0.203421245569568,-11.8375049260525,9.27064605463935e-15,2.35331784463922e-13,23.3313512817243
MYRA,TreatmentGroupGrp1...TreatmentGroupGrp2,-1.08177824511441,-1.52548941915682,-0.638067071072007,0.201813881054112,-7.32441660647425,2.00416005442993e-07,2.54374160754569e-06,7.00844212151366
PCOC,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.64921783497533,-0.7757024524131,-0.522733217537561,0.19997493849101,-4.99881304731213,1.03179043811779e-05,0.000106403388930897,2.38753009885024
ERMA,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.873619657271166,-1.11658367317763,-0.630655641364697,0.198012825584067,-5.42378663848693,1.13107317762912e-06,1.2870832710952e-05,4.38185802055648
MPHA,TreatmentGroupGrp1...TreatmentGroupGrp2,-4.26413698491642,-4.47467324774473,-4.05360072208811,0.196609322065034,-31.7377804411821,4.1487369350766e-26,6.84541594287639e-24,48.7015437267687
COPZ,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0495052525306997,-0.458930126390543,0.557940631451942,0.19637377432285,0.222302531679818,0.824779117083723,0.935603176526693,-7.71990772237706
YBTQ,TreatmentGroupGrp1...TreatmentGroupGrp2,0.420412078527894,0.138330079643356,0.702494077412432,0.193133105165459,1.70295697205695,0.0943341499409932,0.288243235930812,-6.27024712552147
BEXA,TreatmentGroupGrp1...TreatmentGroupGrp2,-3.49682689131119,-3.95575881114499,-3.0378949714774,0.191175533486187,-15.3316420397803,7.7847638750931e-20,4.28162013130121e-18,35.0021728128377
QACC,TreatmentGroupGrp1...TreatmentGroupGrp2,0.27983602073576,0.0178650133917757,0.541807028079744,0.189641584390802,2.55690166634815,0.0159111097462707,0.0846881647785374,-4.38827638864137
CATA,TreatmentGroupGrp1...TreatmentGroupGrp2,0.39689238378515,0.30410402258364,0.48968074498666,0.183142197009116,2.50690709759336,0.0155813332460297,0.0842924585440954,-4.71016483307579
